"Name","Modified Time","Change Time","Access Time","Created Time","Size","Flags(Dir)","Flags(Meta)","Known","Location","MD5 Hash","MIME Type","Extension"
"System.Data.Entity.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Program Files (x86)/Reference Assemblies/Microsoft/Framework/v3.5/System.Data.Entity.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"nb.lproj","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Program Files (x86)/Apple Software Update/SoftwareUpdate.Resources/nb.lproj","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","lproj"
"ko.lproj","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Program Files (x86)/Bonjour/Bonjour.Resources/ko.lproj","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","lproj"
"it.lproj","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Program Files (x86)/Common Files/Apple/Apple Application Support/AVFoundationCF.resources/it.lproj","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","lproj"
"es.lproj","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Program Files (x86)/Common Files/Apple/Apple Application Support/CFNetwork.resources/es.lproj","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","lproj"
"ru.lproj","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Program Files (x86)/Common Files/Apple/Apple Application Support/CFNetwork.resources/ru.lproj","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","lproj"
"ColorSync.resources","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Program Files (x86)/Common Files/Apple/Apple Application Support/ColorSync.resources","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","resources"
"libdispatch.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Program Files (x86)/Common Files/Apple/Apple Application Support/libdispatch.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"es.lproj","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Program Files (x86)/Common Files/Apple/Apple Application Support/MediaAccessibility.resources/es.lproj","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","lproj"
"pthreadVC2.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Program Files (x86)/Common Files/Apple/Apple Application Support/pthreadVC2.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"fi.lproj","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Program Files (x86)/Common Files/Apple/Apple Application Support/WebKit.resources/fi.lproj","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","lproj"
"AuditResultView.js","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Program Files (x86)/Common Files/Apple/Apple Application Support/WebKit.resources/inspector/AuditResultView.js","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","js"
"buildSystemOnly.js","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Program Files (x86)/Common Files/Apple/Apple Application Support/WebKit.resources/inspector/buildSystemOnly.js","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","js"
"ConsoleView.js","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Program Files (x86)/Common Files/Apple/Apple Application Support/WebKit.resources/inspector/ConsoleView.js","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","js"
